"id","Publisher","Organisation type","GB signatory","Registred Pub. ID","IATI organisation reference","Supp. URL","fiscalStart","fiscalEnd","reportsToEU","reportsToFTS","reportsToFTSViaIATI","tracability"
"58b42842-0d4c-4149-bc0a-d85486868ce7","ActionAid Bangladesh","International NGO","ActionAid","aab","BD-NAB-0210","No URL Provided","","","N.A","NO","NO","YES"
"2221d629-e092-4086-aef1-cb1adc025d5e","ActionAid Denmark","International NGO","ActionAid","aadk","DK-CVR-18243717","No URL Provided","01 Jan","31 Dec","N.A","NO","NO",""
"390f42d9-8a83-49be-ba8f-cf75eec7497c","ActionAid Ghana","National NGO","ActionAid","aag","GH-DSW-3064","No URL Provided","","","N.A","NO","NO","YES"
"19f7da58-6365-4764-9469-3fdbf96ef2b7","ActionAid International","International NGO","ActionAid","aai","NL-KVK-27264198","No URL Provided","01 Jan","31 Dec","N.A","NO","NO",""
"49cbb9de-7984-4c35-8619-b77fd9976450","ActionAid International Kenya","International NGO","ActionAid","aaik","KE-NCB-OP/218/051/924/84","No URL Provided","01 Jan","31 Dec","NO","NO","NO",""
"8b2a87b5-f9b6-44ba-b597-a5e85306c5a4","ActionAid Rwanda","National NGO","ActionAid","aar","RW-RGB-61-RGB-NGO-2017","No URL Provided","01 Jan","31 Dec","N.A","NO","NO",""
"b3c1dbc4-578f-48d3-abf6-0f0d311b9eff","ActionAid UK","International NGO","ActionAid","aauk","GB-CHC-274467","No URL Provided","01 Jan","31 Dec","N.A","NO","NO",""
"9fb909f8-7294-41a6-bbb3-51623f47d340","AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development","Government","Italy","aics","XM-DAC-6-4","No URL Provided","01 Jan","31 Dec","NO","NO","NO",""
"1424a286-b773-40dc-a04a-97283fa5c9ba","Alliance for Empowering Partnership","Government","Alliance for Empowering Partnership","","","http://a4ep.net/","","","NO","NO","NO","NO"
"a345dd16-269c-4e35-bcc5-ca856638882a","Australia - Department of Foreign Affairs and Trade (DFAT)","Government","Australia","ausgov","AU-5","No URL Provided","01 Jan","31 Dec","N.A","YES","NO",""
"b1a15ad8-004b-4c73-a13f-c9b73a56da7d","Belgian Development Agency","Government","Belgium","enabel","BE-BCE_KBO-0264814354","No URL Provided","01 Jan","31 Dec","NO","NO","NO",""
"a25e0104-5b71-47b9-8c94-84533d3fa8b7","Belgian Development Cooperation","Government","Belgium","be-dgd","XM-DAC-2-10","No URL Provided","01 Jan","31 Dec","NO","NO","NO",""
"29f74b8e-b564-45f4-aa08-dbc7d9d4b608","British Red Cross","International NGO","IFRC","gb-chc-220949","GB-CHC-220949","No URL Provided","01 Jan","31 Dec","N.A","NO","NO",""
